CoC Number,CoC Name,Count Types,Year,Sheltered Total Homeless,Sheltered Total Homeless - Under 18,Sheltered Total Homeless - Age 18 to 24,Sheltered Total Homeless - Over 24,Sheltered Total Homeless - Female,Sheltered Total Homeless - Male,Sheltered Total Homeless - Transgender,Sheltered Total Homeless - Gender that is not Singularly Female or Male,Sheltered Total Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Sheltered Total Homeless - Hispanic/Latin(o)(a)(x),Sheltered Total Homeless - White,"Sheltered Total Homeless - Black, African American, or African",Sheltered Total Homeless - Asian or Asian American,"Sheltered Total Homeless - American Indian, Alaska Native, or Indigenous",Sheltered Total Homeless - Native Hawaiian or Other Pacific Islander,Sheltered Total Homeless - Multiple Races,Unsheltered Homeless,Unsheltered Homeless - Under 18,Unsheltered Homeless - Age 18 to 24,Unsheltered Homeless - Over 24,Unsheltered Homeless - Female,Unsheltered Homeless - Male,Unsheltered Homeless - Transgender,Unsheltered Homeless - Gender that is not Singularly Female or Male,Unsheltered Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Unsheltered Homeless - Hispanic/Latin(o)(a)(x),Unsheltered Homeless - White,"Unsheltered Homeless - Black, African American, or African",Unsheltered Homeless - Asian or Asian American,"Unsheltered Homeless - American Indian, Alaska Native, or Indigenous",Unsheltered Homeless - Native Hawaiian or Other Pacific Islander,Unsheltered Homeless - Multiple Races,Sheltered Total Homeless - Gender Questioning,Unsheltered Homeless - Gender Questioning
AK-500,Anchorage CoC,Sheltered and Unsheltered Count,2017,973,170,119,684,409,559,4,1,899,74,307,108,10,387,56,105,155,0,14,141,36,119,0,0,152,3,44,15,0,81,1,14,,
AK-501,Alaska Balance of State CoC,Sheltered and Unsheltered Count,2017,578,135,47,396,280,298,0,0,556,22,227,24,10,243,11,63,139,0,6,133,40,99,0,0,136,3,63,0,0,59,1,16,,
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Sheltered and Unsheltered Count,2017,875,104,80,691,286,585,4,0,861,14,262,582,1,10,1,19,217,0,45,172,48,153,15,1,214,3,68,144,0,0,0,5,,
AL-501,Mobile City & County/Baldwin County CoC,Sheltered and Unsheltered Count,2017,341,106,23,212,157,184,0,0,331,10,146,185,3,3,0,4,265,10,12,243,65,199,1,0,257,8,127,129,1,3,0,5,,
AL-502,Florence/Northwest Alabama CoC,Sheltered and Unsheltered Count,2017,133,0,7,126,67,65,0,1,130,3,92,5,0,0,0,36,22,0,1,21,5,16,0,1,22,0,20,2,0,0,0,0,,
AL-503,Huntsville/North Alabama CoC,Sheltered and Unsheltered Count,2017,337,84,17,236,129,207,1,0,326,11,172,143,1,1,0,20,99,1,5,93,29,70,0,0,96,3,61,31,0,1,0,6,,
AL-504,Montgomery City & County CoC,Sheltered and Unsheltered Count,2017,314,56,31,227,92,222,0,0,307,7,59,250,0,0,0,5,63,3,0,60,12,51,0,0,63,0,11,52,0,0,0,0,,
AL-505,Gadsden/Northeast Alabama CoC,Sheltered and Unsheltered Count,2017,103,24,4,75,53,49,0,1,103,0,76,27,0,0,0,0,60,0,2,58,14,46,0,0,60,0,44,10,0,1,0,5,,
AL-506,Tuscaloosa City & County CoC,Sheltered and Unsheltered Count,2017,137,38,5,94,63,73,0,1,130,7,37,98,0,0,0,2,63,0,28,35,26,37,0,0,62,1,31,32,0,0,0,0,,
AL-507,Alabama Balance of State CoC,Sheltered and Unsheltered Count,2017,416,60,17,339,117,299,0,0,413,3,251,158,3,0,0,4,348,42,23,283,151,197,0,0,346,2,130,216,0,2,0,0,,
